 Zalando; PROMOTER - Baskets montantes
 Zalando; VIVIDLY - Escarpins
 DeFacto; Chemisier
 Zalando; ONSIASON SLIM TEE - T-shirt imprimé
 Oneill; BAAY MAOI - Bikini
 Zalando; JDYBRILLIANT HOOD CARDIGAN - Gilet
 DeFacto; REGULAR FIT - Parka
 BESTSELLER; FILLI V NECK GA NOOS - T-shirt basique
 Zalando; T-shirt Ã  manches longues
 Vans; DEANA - Sac de randonnée
 Vans; LEFT CHEST LOGO TEE - T-shirt basique
 Steve Madden; BVITAL - Sac bandoulière
 Zalando; CHARLIZE - Escarpins Ã  plateforme
 Zalando; VALA - Escarpins
 Zalando; ICE - T-shirt basique
 Zalando; MID CUT SHOE REBOUND 2.0 - Chaussures de basket
 Quiksilver; EVERYDAY VOLLEY - Short de bain
 Zalando; T-shirt Ã  manches longues
 Zalando; Sweat Ã  capuche zippé
 Zalando; 3 POINT - Chaussures fitness
 Zalando; CHALLENGER UNISEX - Short de sport
 modeherz; VIKKY - Cabas
 Vans; OLD SKOOL - Sac Ã  dos
 PUMA; GRAVITON AC UNISEX - Baskets basses
 Zalando; CLUB HOODIE - Sweat Ã  capuche
 Oneill; CALI - Short de bain
 Zalando; LOW CUT SHOE REBOUND 2.0 UNISEX - Chaussures de basket
 Zalando; LOW CUT SHOE JOLT - Chaussures de course
 Zalando; RENEW IN SEASON TR 12 - Chaussures fitness
 WE Fashion; Polo
 Victoria Hyde; UHR PRAGUE - Montre
 Zalando; PRINTED DUNE SKY TANKLETTE - Débardeur
 Superdry; STUDIOS - Débardeur
 Misako; LAMITA - Sac bandoulière
 Guess; ALLOVER LOGO - Blouson
 Zalando; LOW CUT SHOE REBOUND 2.0 UNISEX - Chaussures de basket
 Brand Trotter; Sweat Ã  capuche
 ProFashion GmbH; Jean flare
 ProFashion GmbH; LONG STYLE - Gilet
 ProFashion GmbH; STRETCH MIT ZIERNAHT - Legging
 Zalando; YASLIZZIE STRAIGHT PANT - Pantalon classique
 Zalando; YASRINGO HIGH WAIST FLARED PANT CELEB - Pantalon classique
 Zalando; YASLIZZIE BUSTIER CELEB - Débardeur
 Zalando; PALPITI - Jean bootcut
 Ellos Group;" ""BABBA - Veste dhiver"""
 engelhorn;" ""TJCU REVERSIBLE CROPPED COACH - Veste dhiver"""
 Gerry Weber Retail GmbH; 1/2 ARM KURZARM - Polo
 Zalando; 2 PACK - Haut de pyjama
 Zalando; 3 POINT - Chaussures fitness
 Gerry Weber Retail GmbH; 3/4 ARM - T-shirt Ã  manches longues
 MAISON MONTAGUT; Ã€ CAPUCHE AVEC POCHES EN - FABIO - Sweat Ã  capuche
 Reebok; AC DREAMBLEND - T-shirt Ã  manches longues
 Quiksilver; AIRFLOW KURZÃ„RMLIGES - Chemise
 Zalando; AIRTAG LOOP - Autres accessoires
 Zalando; ALEX MINI DRESS SENORITA - Robe de soirée
 Guess; ALLOVER LOGO - Blouson
 BESTSELLER; AMONG US - T-shirt imprimé
 Claudie Pierlot; ANATOLE - Escarpins
